acumuladas,poblacion,provincia,total,mes,anio
364,881394,Azuay,364,1,2020
63,209933,Bolívar,63,1,2020
57,186869,Carchi,57,1,2020
109,281396,Cañar,109,1,2020
219,524004,Chimborazo,219,1,2020
138,488716,Cotopaxi,138,1,2020
307,715751,El Oro,307,1,2020
135,591083,Esmeraldas,135,1,2020
5,33042,Galápagos,5,1,2020
1978,4387434,Guayas,1978,1,2020
188,476257,Imbabura,188,1,2020
218,521154,Loja,218,1,2020
301,921763,Los Ríos,301,1,2020
626,1562079,Manabí,626,1,2020
49,196535,Morona Santiago,49,1,2020
35,133705,Napo,35,1,2020
42,161338,Orellana,42,1,2020
34,114202,Pastaza,34,1,2020
1212,3228233,Pichincha,1212,1,2020
117,401178,Santa Elena,117,1,2020
206,511151,Sto. Domingo Tsáchilas,206,1,2020
61,230503,Sucumbíos,61,1,2020
254,590600,Tungurahua,254,1,2020
26,120416,Zamora Chinchipe,26,1,2020
691,881394,Azuay,327,2,2020
148,209933,Bolívar,85,2,2020
114,186869,Carchi,57,2,2020
186,281396,Cañar,77,2,2020
408,524004,Chimborazo,189,2,2020
296,488716,Cotopaxi,158,2,2020
535,715751,El Oro,228,2,2020
296,591083,Esmeraldas,161,2,2020
9,33042,Galápagos,4,2,2020
3711,4387434,Guayas,1733,2,2020
344,476257,Imbabura,156,2,2020
394,521154,Loja,176,2,2020
589,921763,Los Ríos,288,2,2020
1169,1562079,Manabí,543,2,2020
97,196535,Morona Santiago,48,2,2020
66,133705,Napo,31,2,2020
72,161338,Orellana,30,2,2020
68,114202,Pastaza,34,2,2020
2360,3228233,Pichincha,1148,2,2020
234,401178,Santa Elena,117,2,2020
409,511151,Sto. Domingo Tsáchilas,203,2,2020
113,230503,Sucumbíos,52,2,2020
490,590600,Tungurahua,236,2,2020
52,120416,Zamora Chinchipe,26,2,2020
1051,881394,Azuay,360,3,2020
216,209933,Bolívar,68,3,2020
173,186869,Carchi,59,3,2020
290,281396,Cañar,104,3,2020
640,524004,Chimborazo,232,3,2020
463,488716,Cotopaxi,167,3,2020
867,715751,El Oro,332,3,2020
426,591083,Esmeraldas,130,3,2020
12,33042,Galápagos,3,3,2020
9189,4387434,Guayas,5478,3,2020
491,476257,Imbabura,147,3,2020
585,521154,Loja,191,3,2020
955,921763,Los Ríos,366,3,2020
