acumuladas,poblacion,provincia,total,semana,anio
,,Pastaza,6,18,2022
,,Tungurahua,7,1,2022
,,Imbabura,62,35,2022
,,Los Ríos,85,43,2022
,,Imbabura,52,40,2022
,,Zamora Chinchipe,6,22,2022
,,Loja,39,22,2022
,,Chimborazo,71,5,2022
,,Cotopaxi,42,28,2022
,,Carchi,24,18,2022
,,Loja,30,53,2022
,,Los Ríos,94,15,2022
,,Los Ríos,97,25,2022
,,Guayas,443,37,2022
,,Azuay,96,14,2022
,,Loja,8,1,2022
,,Chimborazo,64,34,2022
,,Pastaza,8,44,2022
,,Santa Elena,39,16,2022
,,Orellana,7,14,2022
,,Morona Santiago,11,39,2022
,,Galápagos,4,31,2022
,,Guayas,509,33,2022
,,Carchi,11,17,2022
,,Santa Elena,3,1,2022
,,Orellana,13,20,2022
,,Carchi,20,37,2022
,,Zamora Chinchipe,6,31,2022
,,Cañar,18,35,2022
,,Cotopaxi,44,48,2022
,,Napo,3,37,2022
,,Bolívar,29,34,2022
,,Cañar,20,15,2022
,,Chimborazo,43,43,2022
,,Cañar,26,37,2022
,,Bolívar,26,44,2022
,,Zamora Chinchipe,8,37,2022
,,Bolívar,22,38,2022
,,Pastaza,10,3,2022
,,Orellana,11,44,2022
,,Pastaza,6,8,2022
,,Azuay,62,44,2022
,,Tungurahua,61,49,2022
,,Chimborazo,48,36,2022
,,Sucumbíos,11,44,2022
,,El Oro,68,35,2022
,,Galápagos,1,14,2022
,,Santa Elena,31,33,2022
,,Zamora Chinchipe,7,11,2022
,,Manabí,171,13,2022
,,Bolívar,21,30,2022
,,Carchi,20,4,2022
,,Sucumbíos,17,11,2022
,,Chimborazo,50,23,2022
,,Sto. Domingo Tsáchilas,54,45,2022
,,Guayas,494,11,2022
,,Santa Elena,35,30,2022
,,Los Ríos,92,28,2022
,,Chimborazo,41,37,2022
,,Esmeraldas,37,18,2022
,,Chimborazo,45,40,2022
,,Esmeraldas,38,52,2022
,,Los Ríos,90,23,2022
,,Esmeraldas,60,3,2022
,,Sucumbíos,18,34,2022
,,Napo,5,47,2022
,,Cotopaxi,49,49,2022
,,Sto. Domingo Tsáchilas,86,20,2022
,,Sucumbíos,13,28,2022
,,Esmeraldas,46,20,2022
,,Pastaza,6,37,2022
,,Loja,50,21,2022
,,Galápagos,1,9,2022
,,Guayas,495,28,2022
,,Sucumbíos,24,39,2022
,,Guayas,479,30,2022
,,El Oro,78,20,2022
,,Esmeraldas,41,47,2022
,,Tungurahua,60,40,2022
,,El Oro,69,21,2022
