Table Names,provincia,poblacion,total,nuevas,mes,anio
muertes_covid_provincias_mensual_2021.csv,Azuay,881394,267,45,1,2021
muertes_covid_provincias_mensual_2021.csv,Bolívar,209933,75,4,1,2021
muertes_covid_provincias_mensual_2021.csv,Carchi,186869,166,44,1,2021
muertes_covid_provincias_mensual_2021.csv,Cañar,281396,109,6,1,2021
muertes_covid_provincias_mensual_2021.csv,Chimborazo,524004,386,42,1,2021
muertes_covid_provincias_mensual_2021.csv,Cotopaxi,488716,343,32,1,2021
muertes_covid_provincias_mensual_2021.csv,El Oro,715751,631,62,1,2021
muertes_covid_provincias_mensual_2021.csv,Esmeraldas,591083,247,6,1,2021
muertes_covid_provincias_mensual_2021.csv,Galápagos,33042,8,4,1,2021
muertes_covid_provincias_mensual_2021.csv,Guayas,4387434,1949,90,1,2021
muertes_covid_provincias_mensual_2021.csv,Imbabura,476257,231,17,1,2021
muertes_covid_provincias_mensual_2021.csv,Loja,521154,261,15,1,2021
muertes_covid_provincias_mensual_2021.csv,Los Ríos,921763,365,4,1,2021
muertes_covid_provincias_mensual_2021.csv,Manabí,1562079,1412,115,1,2021
muertes_covid_provincias_mensual_2021.csv,Morona Santiago,196535,39,3,1,2021
muertes_covid_provincias_mensual_2021.csv,Napo,133705,80,2,1,2021
muertes_covid_provincias_mensual_2021.csv,Orellana,161338,56,3,1,2021
muertes_covid_provincias_mensual_2021.csv,Pastaza,114202,67,4,1,2021
muertes_covid_provincias_mensual_2021.csv,Pichincha,3228233,2108,83,1,2021
muertes_covid_provincias_mensual_2021.csv,Santa Elena,401178,407,22,1,2021
muertes_covid_provincias_mensual_2021.csv,Sto. Domingo Tsáchilas,511151,414,40,1,2021
muertes_covid_provincias_mensual_2021.csv,Sucumbíos,230503,108,10,1,2021
muertes_covid_provincias_mensual_2021.csv,Tungurahua,590600,390,49,1,2021
muertes_covid_provincias_mensual_2021.csv,Zamora Chinchipe,120416,58,2,1,2021
muertes_covid_provincias_mensual_2021.csv,Azuay,881394,305,38,2,2021
muertes_covid_provincias_mensual_2021.csv,Bolívar,209933,81,6,2,2021
muertes_covid_provincias_mensual_2021.csv,Carchi,186869,187,21,2,2021
muertes_covid_provincias_mensual_2021.csv,Cañar,281396,112,3,2,2021
muertes_covid_provincias_mensual_2021.csv,Chimborazo,524004,398,12,2,2021
muertes_covid_provincias_mensual_2021.csv,Cotopaxi,488716,388,45,2,2021
muertes_covid_provincias_mensual_2021.csv,El Oro,715751,721,90,2,2021
muertes_covid_provincias_mensual_2021.csv,Esmeraldas,591083,267,20,2,2021
muertes_covid_provincias_mensual_2021.csv,Galápagos,33042,8,0,2,2021
muertes_covid_provincias_mensual_2021.csv,Guayas,4387434,2070,121,2,2021
muertes_covid_provincias_mensual_2021.csv,Imbabura,476257,258,27,2,2021
muertes_covid_provincias_mensual_2021.csv,Loja,521154,291,30,2,2021
muertes_covid_provincias_mensual_2021.csv,Los Ríos,921763,380,15,2,2021
muertes_covid_provincias_mensual_2021.csv,Manabí,1562079,1573,161,2,2021
muertes_covid_provincias_mensual_2021.csv,Morona Santiago,196535,41,2,2,2021
muertes_covid_provincias_mensual_2021.csv,Napo,133705,84,4,2,2021
muertes_covid_provincias_mensual_2021.csv,Orellana,161338,59,3,2,2021
muertes_covid_provincias_mensual_2021.csv,Pastaza,114202,67,0,2,2021
muertes_covid_provincias_mensual_2021.csv,Pichincha,3228233,2296,188,2,2021
muertes_covid_provincias_mensual_2021.csv,Santa Elena,401178,410,3,2,2021
muertes_covid_provincias_mensual_2021.csv,Sto. Domingo Tsáchilas,511151,461,47,2,2021
muertes_covid_provincias_mensual_2021.csv,Sucumbíos,230503,109,1,2,2021
muertes_covid_provincias_mensual_2021.csv,Tungurahua,590600,432,42,2,2021
muertes_covid_provincias_mensual_2021.csv,Zamora Chinchipe,120416,60,2,2,2021
muertes_covid_provincias_mensual_2021.csv,Azuay,881394,338,33,3,2021
muertes_covid_provincias_mensual_2021.csv,Bolívar,209933,85,4,3,2021
muertes_covid_provincias_mensual_2021.csv,Carchi,186869,210,23,3,2021
muertes_covid_provincias_mensual_2021.csv,Cañar,281396,117,5,3,2021
muertes_covid_provincias_mensual_2021.csv,Chimborazo,524004,409,11,3,2021
muertes_covid_provincias_mensual_2021.csv,Cotopaxi,488716,397,9,3,2021
muertes_covid_provincias_mensual_2021.csv,El Oro,715751,779,58,3,2021
muertes_covid_provincias_mensual_2021.csv,Esmeraldas,591083,302,35,3,2021
muertes_covid_provincias_mensual_2021.csv,Galápagos,33042,9,1,3,2021
