provincia,poblacion,total,nuevas,semana,anio
Azuay,881394,226,4,1,2021
Bolívar,209933,73,1,1,2021
Carchi,186869,130,8,1,2021
Cañar,281396,104,1,1,2021
Chimborazo,524004,357,12,1,2021
Cotopaxi,488716,316,4,1,2021
El Oro,715751,577,6,1,2021
Esmeraldas,591083,242,1,1,2021
Galápagos,33042,6,1,1,2021
Guayas,4387434,1866,7,1,2021
Imbabura,476257,217,3,1,2021
Loja,521154,247,1,1,2021
Los Ríos,921763,362,1,1,2021
Manabí,1562079,1325,24,1,2021
Morona Santiago,196535,37,1,1,2021
Napo,133705,78,0,1,2021
Orellana,161338,53,0,1,2021
Pastaza,114202,64,1,1,2021
Pichincha,3228233,2033,6,1,2021
Santa Elena,401178,389,4,1,2021
Sto. Domingo Tsáchilas,511151,385,9,1,2021
Sucumbíos,230503,100,2,1,2021
Tungurahua,590600,350,9,1,2021
Zamora Chinchipe,120416,56,0,1,2021
Azuay,881394,228,2,2,2021
Bolívar,209933,73,0,2,2021
Carchi,186869,141,11,2,2021
Cañar,281396,105,1,2,2021
Chimborazo,524004,361,4,2,2021
Cotopaxi,488716,326,10,2,2021
El Oro,715751,585,8,2,2021
Esmeraldas,591083,242,0,2,2021
Galápagos,33042,6,0,2,2021
Guayas,4387434,1870,4,2,2021
Imbabura,476257,222,5,2,2021
Loja,521154,247,0,2,2021
Los Ríos,921763,363,1,2,2021
Manabí,1562079,1355,30,2,2021
Morona Santiago,196535,37,0,2,2021
Napo,133705,79,1,2,2021
Orellana,161338,53,0,2,2021
Pastaza,114202,65,1,2,2021
Pichincha,3228233,2061,28,2,2021
Santa Elena,401178,392,3,2,2021
Sto. Domingo Tsáchilas,511151,393,8,2,2021
Sucumbíos,230503,101,1,2,2021
Tungurahua,590600,353,3,2,2021
Zamora Chinchipe,120416,56,0,2,2021
Azuay,881394,249,21,3,2021
Bolívar,209933,73,0,3,2021
Carchi,186869,156,15,3,2021
Cañar,281396,108,3,3,2021
Chimborazo,524004,366,5,3,2021
Cotopaxi,488716,331,5,3,2021
El Oro,715751,610,25,3,2021
Esmeraldas,591083,246,4,3,2021
Galápagos,33042,7,1,3,2021
Guayas,4387434,1925,55,3,2021
Imbabura,476257,228,6,3,2021
Loja,521154,255,8,3,2021
Los Ríos,921763,365,2,3,2021
Manabí,1562079,1378,23,3,2021
Morona Santiago,196535,38,1,3,2021
Napo,133705,80,1,3,2021
Orellana,161338,55,2,3,2021
Pastaza,114202,65,0,3,2021
Pichincha,3228233,2083,22,3,2021
Santa Elena,401178,406,14,3,2021
Sto. Domingo Tsáchilas,511151,401,8,3,2021
Sucumbíos,230503,107,6,3,2021
Tungurahua,590600,380,27,3,2021
Zamora Chinchipe,120416,56,0,3,2021
Azuay,881394,267,18,4,2021
Bolívar,209933,75,2,4,2021
Carchi,186869,166,10,4,2021
Cañar,281396,109,1,4,2021
Chimborazo,524004,386,20,4,2021
