provincia,poblacion,total,nuevas,lat,lng,mes,anio
Azuay,881394,34330,4377,"-2,897414","-79,004481",1,2022
Bolívar,209933,10429,2735,"-1,605556","-79,003056",1,2022
Carchi,186869,11843,1748,"0,81218","-77,71633",1,2022
Cañar,281396,11577,4547,"-2,733333","-78,833333",1,2022
Chimborazo,524004,13921,4217,"-1,674347","-78,648294",1,2022
Cotopaxi,488716,16152,3264,"-0,933333","-78,616667",1,2022
El Oro,715751,43131,17309,"-3,266667","-79,966667",1,2022
Esmeraldas,591083,13086,2710,"1,05","-79,2",1,2022
Galápagos,33042,2733,1182,"-0,8","-89,4",1,2022
Guayas,4387434,122515,44017,"-2,183333","-79,883333",1,2022
Imbabura,476257,24163,5951,"0,362678","-78,130667",1,2022
Loja,521154,26436,7428,"-3,983333","-79,2",1,2022
Los Ríos,921763,16606,2801,"-1,8","-79,533333",1,2022
Manabí,1562079,49703,12609,"-1,056181","-80,455217",1,2022
Morona Santiago,196535,9337,1858,"-2,3","-78,116667",1,2022
Napo,133705,6191,1564,"-0,989","-77,8159",1,2022
Orellana,161338,5223,1002,"-0,466667","-76,966667",1,2022
Pastaza,114202,4533,601,"-1,066667","-78,001111",1,2022
Pichincha,3228233,253393,50787,"-0,218611","-78,509722",1,2022
Santa Elena,401178,6131,1422,"-2,2267","-80,8583",1,2022
Sto. Domingo Tsáchilas,511151,15300,2074,"-0,254167","-79,171944",1,2022
Sucumbíos,230503,8269,1441,"0,084722","-76,882778",1,2022
Tungurahua,590600,22495,5713,"-1,241667","-78,619722",1,2022
Zamora Chinchipe,120416,4541,1263,"-4,12","-78,8",1,2022
Azuay,881394,39996,5666,"-2,897414","-79,004481",2,2022
Bolívar,209933,11377,948,"-1,605556","-79,003056",2,2022
Carchi,186869,12852,1009,"0,81218","-77,71633",2,2022
Cañar,281396,13791,2214,"-2,733333","-78,833333",2,2022
Chimborazo,524004,15458,1537,"-1,674347","-78,648294",2,2022
Cotopaxi,488716,17644,1492,"-0,933333","-78,616667",2,2022
El Oro,715751,48693,5562,"-3,266667","-79,966667",2,2022
Esmeraldas,591083,13858,772,"1,05","-79,2",2,2022
Galápagos,33042,3012,279,"-0,8","-89,4",2,2022
Guayas,4387434,132317,9802,"-2,183333","-79,883333",2,2022
Imbabura,476257,27701,3538,"0,362678","-78,130667",2,2022
Loja,521154,32464,6028,"-3,983333","-79,2",2,2022
Los Ríos,921763,17166,560,"-1,8","-79,533333",2,2022
Manabí,1562079,54363,4660,"-1,056181","-80,455217",2,2022
Morona Santiago,196535,10365,1028,"-2,3","-78,116667",2,2022
Napo,133705,6695,504,"-0,989","-77,8159",2,2022
Orellana,161338,5752,529,"-0,466667","-76,966667",2,2022
Pastaza,114202,5211,678,"-1,066667","-78,001111",2,2022
Pichincha,3228233,301039,47646,"-0,218611","-78,509722",2,2022
Santa Elena,401178,6448,317,"-2,2267","-80,8583",2,2022
Sto. Domingo Tsáchilas,511151,16635,1335,"-0,254167","-79,171944",2,2022
Sucumbíos,230503,8684,415,"0,084722","-76,882778",2,2022
Tungurahua,590600,26206,3711,"-1,241667","-78,619722",2,2022
Zamora Chinchipe,120416,5068,527,"-4,12","-78,8",2,2022
Azuay,881394,41747,1751,"-2,897414","-79,004481",3,2022
Bolívar,209933,11636,259,"-1,605556","-79,003056",3,2022
Carchi,186869,13128,276,"0,81218","-77,71633",3,2022
Cañar,281396,14355,564,"-2,733333","-78,833333",3,2022
Chimborazo,524004,15881,423,"-1,674347","-78,648294",3,2022
Cotopaxi,488716,17917,273,"-0,933333","-78,616667",3,2022
El Oro,715751,49143,450,"-3,266667","-79,966667",3,2022
Esmeraldas,591083,13989,131,"1,05","-79,2",3,2022
Galápagos,33042,3071,59,"-0,8","-89,4",3,2022
Guayas,4387434,134346,2029,"-2,183333","-79,883333",3,2022
Imbabura,476257,29238,1537,"0,362678","-78,130667",3,2022
Loja,521154,33328,864,"-3,983333","-79,2",3,2022
Los Ríos,921763,17245,79,"-1,8","-79,533333",3,2022
Manabí,1562079,54898,535,"-1,056181","-80,455217",3,2022
Morona Santiago,196535,10454,89,"-2,3","-78,116667",3,2022
Napo,133705,6762,67,"-0,989","-77,8159",3,2022
Orellana,161338,5798,46,"-0,466667","-76,966667",3,2022
Pastaza,114202,5297,86,"-1,066667","-78,001111",3,2022
Pichincha,3228233,319087,18048,"-0,218611","-78,509722",3,2022
Santa Elena,401178,6506,58,"-2,2267","-80,8583",3,2022
Sto. Domingo Tsáchilas,511151,16722,87,"-0,254167","-79,171944",3,2022
Sucumbíos,230503,8767,83,"0,084722","-76,882778",3,2022
Tungurahua,590600,26739,533,"-1,241667","-78,619722",3,2022
Zamora Chinchipe,120416,5197,129,"-4,12","-78,8",3,2022
Azuay,881394,42764,1017,"-2,897414","-79,004481",4,2022
Bolívar,209933,11679,43,"-1,605556","-79,003056",4,2022
Carchi,186869,13180,52,"0,81218","-77,71633",4,2022
Cañar,281396,14535,180,"-2,733333","-78,833333",4,2022
Chimborazo,524004,15999,118,"-1,674347","-78,648294",4,2022
Cotopaxi,488716,18029,112,"-0,933333","-78,616667",4,2022
El Oro,715751,49275,132,"-3,266667","-79,966667",4,2022
Esmeraldas,591083,14013,24,"1,05","-79,2",4,2022
Galápagos,33042,3108,37,"-0,8","-89,4",4,2022
Guayas,4387434,135077,731,"-2,183333","-79,883333",4,2022
Imbabura,476257,29557,319,"0,362678","-78,130667",4,2022
Loja,521154,33530,202,"-3,983333","-79,2",4,2022
Los Ríos,921763,17302,57,"-1,8","-79,533333",4,2022
Manabí,1562079,55134,236,"-1,056181","-80,455217",4,2022
Morona Santiago,196535,10507,53,"-2,3","-78,116667",4,2022
Napo,133705,6784,22,"-0,989","-77,8159",4,2022
Orellana,161338,5855,57,"-0,466667","-76,966667",4,2022
Pastaza,114202,5307,10,"-1,066667","-78,001111",4,2022
Pichincha,3228233,323821,4734,"-0,218611","-78,509722",4,2022
Santa Elena,401178,6524,18,"-2,2267","-80,8583",4,2022
Sto. Domingo Tsáchilas,511151,16772,50,"-0,254167","-79,171944",4,2022
Sucumbíos,230503,8788,21,"0,084722","-76,882778",4,2022
Tungurahua,590600,26921,182,"-1,241667","-78,619722",4,2022
Zamora Chinchipe,120416,5235,38,"-4,12","-78,8",4,2022
Azuay,881394,43464,700,"-2,897414","-79,004481",5,2022
Bolívar,209933,11730,51,"-1,605556","-79,003056",5,2022
Carchi,186869,13221,41,"0,81218","-77,71633",5,2022
Cañar,281396,14658,123,"-2,733333","-78,833333",5,2022
Chimborazo,524004,16076,77,"-1,674347","-78,648294",5,2022
Cotopaxi,488716,18114,85,"-0,933333","-78,616667",5,2022
El Oro,715751,49334,59,"-3,266667","-79,966667",5,2022
Esmeraldas,591083,14034,21,"1,05","-79,2",5,2022
Galápagos,33042,3116,8,"-0,8","-89,4",5,2022
Guayas,4387434,136418,1341,"-2,183333","-79,883333",5,2022
Imbabura,476257,29649,92,"0,362678","-78,130667",5,2022
Loja,521154,33689,159,"-3,983333","-79,2",5,2022
Los Ríos,921763,17332,30,"-1,8","-79,533333",5,2022
Manabí,1562079,55266,132,"-1,056181","-80,455217",5,2022
Morona Santiago,196535,10524,17,"-2,3","-78,116667",5,2022
Napo,133705,6796,12,"-0,989","-77,8159",5,2022
Orellana,161338,6043,188,"-0,466667","-76,966667",5,2022
Pastaza,114202,5314,7,"-1,066667","-78,001111",5,2022
Pichincha,3228233,328834,5013,"-0,218611","-78,509722",5,2022
Santa Elena,401178,6548,24,"-2,2267","-80,8583",5,2022
Sto. Domingo Tsáchilas,511151,16789,17,"-0,254167","-79,171944",5,2022
Sucumbíos,230503,8806,18,"0,084722","-76,882778",5,2022
Tungurahua,590600,27180,259,"-1,241667","-78,619722",5,2022
Zamora Chinchipe,120416,5261,26,"-4,12","-78,8",5,2022
Azuay,881394,46113,2649,"-2,897414","-79,004481",6,2022
Bolívar,209933,12035,305,"-1,605556","-79,003056",6,2022
Carchi,186869,13366,145,"0,81218","-77,71633",6,2022
Cañar,281396,15633,975,"-2,733333","-78,833333",6,2022
Chimborazo,524004,16379,303,"-1,674347","-78,648294",6,2022
Cotopaxi,488716,18526,412,"-0,933333","-78,616667",6,2022
El Oro,715751,50036,702,"-3,266667","-79,966667",6,2022
Esmeraldas,591083,14750,716,"1,05","-79,2",6,2022
Galápagos,33042,3185,69,"-0,8","-89,4",6,2022
Guayas,4387434,140842,4424,"-2,183333","-79,883333",6,2022
Imbabura,476257,30127,478,"0,362678","-78,130667",6,2022
Loja,521154,35389,1700,"-3,983333","-79,2",6,2022
Los Ríos,921763,17478,146,"-1,8","-79,533333",6,2022
Manabí,1562079,56241,975,"-1,056181","-80,455217",6,2022
Morona Santiago,196535,10698,174,"-2,3","-78,116667",6,2022
Napo,133705,6856,60,"-0,989","-77,8159",6,2022
Orellana,161338,6109,66,"-0,466667","-76,966667",6,2022
Pastaza,114202,5415,101,"-1,066667","-78,001111",6,2022
Pichincha,3228233,345560,16726,"-0,218611","-78,509722",6,2022
Santa Elena,401178,6649,101,"-2,2267","-80,8583",6,2022
Sto. Domingo Tsáchilas,511151,16920,131,"-0,254167","-79,171944",6,2022
Sucumbíos,230503,8879,73,"0,084722","-76,882778",6,2022
Tungurahua,590600,28651,1471,"-1,241667","-78,619722",6,2022
Zamora Chinchipe,120416,5345,84,"-4,12","-78,8",6,2022
Azuay,881394,49066,2953,"-2,897414","-79,004481",7,2022
Bolívar,209933,13787,1752,"-1,605556","-79,003056",7,2022
Carchi,186869,14019,653,"0,81218","-77,71633",7,2022
Cañar,281396,16864,1231,"-2,733333","-78,833333",7,2022
Chimborazo,524004,17458,1079,"-1,674347","-78,648294",7,2022
Cotopaxi,488716,20325,1799,"-0,933333","-78,616667",7,2022
El Oro,715751,52500,2464,"-3,266667","-79,966667",7,2022
Esmeraldas,591083,15702,952,"1,05","-79,2",7,2022
Galápagos,33042,3376,191,"-0,8","-89,4",7,2022
Guayas,4387434,151042,10200,"-2,183333","-79,883333",7,2022
Imbabura,476257,31944,1817,"0,362678","-78,130667",7,2022
Loja,521154,37993,2604,"-3,983333","-79,2",7,2022
Los Ríos,921763,18367,889,"-1,8","-79,533333",7,2022
Manabí,1562079,62865,6624,"-1,056181","-80,455217",7,2022
Morona Santiago,196535,11424,726,"-2,3","-78,116667",7,2022
Napo,133705,7308,452,"-0,989","-77,8159",7,2022
Orellana,161338,6638,529,"-0,466667","-76,966667",7,2022
Pastaza,114202,5670,255,"-1,066667","-78,001111",7,2022
Pichincha,3228233,365319,19759,"-0,218611","-78,509722",7,2022
Santa Elena,401178,6846,197,"-2,2267","-80,8583",7,2022
Sto. Domingo Tsáchilas,511151,18105,1185,"-0,254167","-79,171944",7,2022
Sucumbíos,230503,9856,977,"0,084722","-76,882778",7,2022
Tungurahua,590600,30770,2119,"-1,241667","-78,619722",7,2022
Zamora Chinchipe,120416,5588,243,"-4,12","-78,8",7,2022
Azuay,881394,50585,1519,"-2,897414","-79,004481",8,2022
Bolívar,209933,14434,647,"-1,605556","-79,003056",8,2022
Carchi,186869,14594,575,"0,81218","-77,71633",8,2022
Cañar,281396,17568,704,"-2,733333","-78,833333",8,2022
Chimborazo,524004,18063,605,"-1,674347","-78,648294",8,2022
Cotopaxi,488716,21111,786,"-0,933333","-78,616667",8,2022
El Oro,715751,53877,1377,"-3,266667","-79,966667",8,2022
Esmeraldas,591083,16257,555,"1,05","-79,2",8,2022
Galápagos,33042,3538,162,"-0,8","-89,4",8,2022
Guayas,4387434,152803,1761,"-2,183333","-79,883333",8,2022
Imbabura,476257,33037,1093,"0,362678","-78,130667",8,2022
Loja,521154,38983,990,"-3,983333","-79,2",8,2022
Los Ríos,921763,18809,442,"-1,8","-79,533333",8,2022
Manabí,1562079,65580,2715,"-1,056181","-80,455217",8,2022
Morona Santiago,196535,12235,811,"-2,3","-78,116667",8,2022
Napo,133705,7758,450,"-0,989","-77,8159",8,2022
Orellana,161338,6824,186,"-0,466667","-76,966667",8,2022
Pastaza,114202,5783,113,"-1,066667","-78,001111",8,2022
Pichincha,3228233,371026,5707,"-0,218611","-78,509722",8,2022
Santa Elena,401178,7294,448,"-2,2267","-80,8583",8,2022
Sto. Domingo Tsáchilas,511151,18408,303,"-0,254167","-79,171944",8,2022
Sucumbíos,230503,10357,501,"0,084722","-76,882778",8,2022
Tungurahua,590600,31674,904,"-1,241667","-78,619722",8,2022
Zamora Chinchipe,120416,5787,199,"-4,12","-78,8",8,2022
Azuay,881394,50865,280,"-2,897414","-79,004481",9,2022
Bolívar,209933,14547,113,"-1,605556","-79,003056",9,2022
Carchi,186869,14618,24,"0,81218","-77,71633",9,2022
Cañar,281396,17634,66,"-2,733333","-78,833333",9,2022
Chimborazo,524004,18124,61,"-1,674347","-78,648294",9,2022
Cotopaxi,488716,21185,74,"-0,933333","-78,616667",9,2022
El Oro,715751,54105,228,"-3,266667","-79,966667",9,2022
Esmeraldas,591083,16276,19,"1,05","-79,2",9,2022
Galápagos,33042,3570,32,"-0,8","-89,4",9,2022
Guayas,4387434,152960,157,"-2,183333","-79,883333",9,2022
Imbabura,476257,33153,116,"0,362678","-78,130667",9,2022
Loja,521154,39257,274,"-3,983333","-79,2",9,2022
Los Ríos,921763,18880,71,"-1,8","-79,533333",9,2022
Manabí,1562079,65777,197,"-1,056181","-80,455217",9,2022
Morona Santiago,196535,12354,119,"-2,3","-78,116667",9,2022
Napo,133705,7794,36,"-0,989","-77,8159",9,2022
Orellana,161338,6841,17,"-0,466667","-76,966667",9,2022
Pastaza,114202,5789,6,"-1,066667","-78,001111",9,2022
Pichincha,3228233,372383,1357,"-0,218611","-78,509722",9,2022
Santa Elena,401178,7325,31,"-2,2267","-80,8583",9,2022
Sto. Domingo Tsáchilas,511151,18496,88,"-0,254167","-79,171944",9,2022
Sucumbíos,230503,10363,6,"0,084722","-76,882778",9,2022
Tungurahua,590600,31723,49,"-1,241667","-78,619722",9,2022
Zamora Chinchipe,120416,5818,31,"-4,12","-78,8",9,2022
Azuay,881394,15998,2441,"-2,897414","-79,004481",1,2021
Bolívar,209933,3045,518,"-1,605556","-79,003056",1,2021
Carchi,186869,5074,1445,"0,81218","-77,71633",1,2021
Cañar,281396,3502,698,"-2,733333","-78,833333",1,2021
Chimborazo,524004,4293,1040,"-1,674347","-78,648294",1,2021
Cotopaxi,488716,7162,1507,"-0,933333","-78,616667",1,2021
El Oro,715751,10497,2174,"-3,266667","-79,966667",1,2021
Esmeraldas,591083,5453,409,"1,05","-79,2",1,2021
Galápagos,33042,1247,329,"-0,8","-89,4",1,2021
Guayas,4387434,31840,4523,"-2,183333","-79,883333",1,2021
Imbabura,476257,7523,1460,"0,362678","-78,130667",1,2021
Loja,521154,9064,1472,"-3,983333","-79,2",1,2021
Los Ríos,921763,6057,1158,"-1,8","-79,533333",1,2021
Manabí,1562079,17591,2631,"-1,056181","-80,455217",1,2021
Morona Santiago,196535,4198,557,"-2,3","-78,116667",1,2021
Napo,133705,1953,285,"-0,989","-77,8159",1,2021
Orellana,161338,2198,88,"-0,466667","-76,966667",1,2021
Pastaza,114202,2520,109,"-1,066667","-78,001111",1,2021
Pichincha,3228233,87656,12191,"-0,218611","-78,509722",1,2021
Santa Elena,401178,3045,414,"-2,2267","-80,8583",1,2021
Sto. Domingo Tsáchilas,511151,6783,869,"-0,254167","-79,171944",1,2021
Sucumbíos,230503,3241,232,"0,084722","-76,882778",1,2021
Tungurahua,590600,9094,1641,"-1,241667","-78,619722",1,2021
Zamora Chinchipe,120416,1794,125,"-4,12","-78,8",1,2021
Azuay,881394,17367,1369,"-2,897414","-79,004481",2,2021
Bolívar,209933,3841,796,"-1,605556","-79,003056",2,2021
Carchi,186869,5714,640,"0,81218","-77,71633",2,2021
Cañar,281396,3911,409,"-2,733333","-78,833333",2,2021
Chimborazo,524004,4997,704,"-1,674347","-78,648294",2,2021
Cotopaxi,488716,8127,965,"-0,933333","-78,616667",2,2021
El Oro,715751,12625,2128,"-3,266667","-79,966667",2,2021
Esmeraldas,591083,6077,624,"1,05","-79,2",2,2021
Galápagos,33042,1309,62,"-0,8","-89,4",2,2021
Guayas,4387434,36351,4511,"-2,183333","-79,883333",2,2021
Imbabura,476257,8618,1095,"0,362678","-78,130667",2,2021
Loja,521154,10345,1281,"-3,983333","-79,2",2,2021
Los Ríos,921763,7577,1520,"-1,8","-79,533333",2,2021
Manabí,1562079,20529,2938,"-1,056181","-80,455217",2,2021
Morona Santiago,196535,4384,186,"-2,3","-78,116667",2,2021
Napo,133705,2186,233,"-0,989","-77,8159",2,2021
Orellana,161338,2323,125,"-0,466667","-76,966667",2,2021
Pastaza,114202,2635,115,"-1,066667","-78,001111",2,2021
Pichincha,3228233,100480,12824,"-0,218611","-78,509722",2,2021
Santa Elena,401178,3365,320,"-2,2267","-80,8583",2,2021
Sto. Domingo Tsáchilas,511151,7818,1035,"-0,254167","-79,171944",2,2021
Sucumbíos,230503,3427,186,"0,084722","-76,882778",2,2021
Tungurahua,590600,10216,1122,"-1,241667","-78,619722",2,2021
Zamora Chinchipe,120416,1933,139,"-4,12","-78,8",2,2021
Azuay,881394,18879,1512,"-2,897414","-79,004481",3,2021
Bolívar,209933,4980,1139,"-1,605556","-79,003056",3,2021
Carchi,186869,6117,403,"0,81218","-77,71633",3,2021
Cañar,281396,4472,561,"-2,733333","-78,833333",3,2021
Chimborazo,524004,5920,923,"-1,674347","-78,648294",3,2021
Cotopaxi,488716,9009,882,"-0,933333","-78,616667",3,2021
El Oro,715751,14986,2361,"-3,266667","-79,966667",3,2021
Esmeraldas,591083,7020,943,"1,05","-79,2",3,2021
Galápagos,33042,1346,37,"-0,8","-89,4",3,2021
Guayas,4387434,42514,6163,"-2,183333","-79,883333",3,2021
Imbabura,476257,9608,990,"0,362678","-78,130667",3,2021
Loja,521154,12475,2130,"-3,983333","-79,2",3,2021
Los Ríos,921763,9286,1709,"-1,8","-79,533333",3,2021
Manabí,1562079,25118,4589,"-1,056181","-80,455217",3,2021
Morona Santiago,196535,4654,270,"-2,3","-78,116667",3,2021
Napo,133705,2431,245,"-0,989","-77,8159",3,2021
Orellana,161338,2506,183,"-0,466667","-76,966667",3,2021
Pastaza,114202,2740,105,"-1,066667","-78,001111",3,2021
Pichincha,3228233,114664,14184,"-0,218611","-78,509722",3,2021
Santa Elena,401178,3683,318,"-2,2267","-80,8583",3,2021
Sto. Domingo Tsáchilas,511151,9241,1423,"-0,254167","-79,171944",3,2021
Sucumbíos,230503,3892,465,"0,084722","-76,882778",3,2021
Tungurahua,590600,11020,804,"-1,241667","-78,619722",3,2021
Zamora Chinchipe,120416,2194,261,"-4,12","-78,8",3,2021
Azuay,881394,21093,2214,"-2,897414","-79,004481",4,2021
Bolívar,209933,5912,932,"-1,605556","-79,003056",4,2021
Carchi,186869,6896,779,"0,81218","-77,71633",4,2021
Cañar,281396,5159,687,"-2,733333","-78,833333",4,2021
Chimborazo,524004,6951,1031,"-1,674347","-78,648294",4,2021
Cotopaxi,488716,10241,1232,"-0,933333","-78,616667",4,2021
El Oro,715751,18120,3134,"-3,266667","-79,966667",4,2021
Esmeraldas,591083,7792,772,"1,05","-79,2",4,2021
Galápagos,33042,1387,41,"-0,8","-89,4",4,2021
Guayas,4387434,49991,7477,"-2,183333","-79,883333",4,2021
Imbabura,476257,11602,1994,"0,362678","-78,130667",4,2021
Loja,521154,14838,2363,"-3,983333","-79,2",4,2021
Los Ríos,921763,11070,1784,"-1,8","-79,533333",4,2021
Manabí,1562079,28739,3621,"-1,056181","-80,455217",4,2021
Morona Santiago,196535,5294,640,"-2,3","-78,116667",4,2021
Napo,133705,2773,342,"-0,989","-77,8159",4,2021
Orellana,161338,2895,389,"-0,466667","-76,966667",4,2021
Pastaza,114202,2967,227,"-1,066667","-78,001111",4,2021
Pichincha,3228233,134446,19782,"-0,218611","-78,509722",4,2021
Santa Elena,401178,4088,405,"-2,2267","-80,8583",4,2021
Sto. Domingo Tsáchilas,511151,10274,1033,"-0,254167","-79,171944",4,2021
Sucumbíos,230503,4665,773,"0,084722","-76,882778",4,2021
Tungurahua,590600,12044,1024,"-1,241667","-78,619722",4,2021
Zamora Chinchipe,120416,2625,431,"-4,12","-78,8",4,2021
Azuay,881394,23088,1995,"-2,897414","-79,004481",5,2021
Bolívar,209933,6477,565,"-1,605556","-79,003056",5,2021
Carchi,186869,7933,1037,"0,81218","-77,71633",5,2021
Cañar,281396,5601,442,"-2,733333","-78,833333",5,2021
