provincia,poblacion,total,nuevas,lat,lng,semana,anio
Azuay,881394,30258,263,"-2,897414","-79,004481",1,2022
Bolívar,209933,8107,401,"-1,605556","-79,003056",1,2022
Carchi,186869,10153,55,"0,81218","-77,71633",1,2022
Cañar,281396,7571,440,"-2,733333","-78,833333",1,2022
Chimborazo,524004,10034,251,"-1,674347","-78,648294",1,2022
Cotopaxi,488716,13213,273,"-0,933333","-78,616667",1,2022
El Oro,715751,27013,931,"-3,266667","-79,966667",1,2022
Esmeraldas,591083,10486,91,"1,05","-79,2",1,2022
Galápagos,33042,1623,66,"-0,8","-89,4",1,2022
Guayas,4387434,84950,5538,"-2,183333","-79,883333",1,2022
Imbabura,476257,18642,380,"0,362678","-78,130667",1,2022
Loja,521154,19465,364,"-3,983333","-79,2",1,2022
Los Ríos,921763,14246,376,"-1,8","-79,533333",1,2022
Manabí,1562079,38870,1499,"-1,056181","-80,455217",1,2022
Morona Santiago,196535,7617,126,"-2,3","-78,116667",1,2022
Napo,133705,4743,112,"-0,989","-77,8159",1,2022
Orellana,161338,4264,33,"-0,466667","-76,966667",1,2022
Pastaza,114202,3970,35,"-1,066667","-78,001111",1,2022
Pichincha,3228233,206286,2955,"-0,218611","-78,509722",1,2022
Santa Elena,401178,4911,174,"-2,2267","-80,8583",1,2022
Sto. Domingo Tsáchilas,511151,13398,112,"-0,254167","-79,171944",1,2022
Sucumbíos,230503,6957,121,"0,084722","-76,882778",1,2022
Tungurahua,590600,17232,371,"-1,241667","-78,619722",1,2022
Zamora Chinchipe,120416,3323,41,"-4,12","-78,8",1,2022
Azuay,881394,31371,1113,"-2,897414","-79,004481",2,2022
Bolívar,209933,8908,801,"-1,605556","-79,003056",2,2022
Carchi,186869,10535,382,"0,81218","-77,71633",2,2022
Cañar,281396,8755,1184,"-2,733333","-78,833333",2,2022
Chimborazo,524004,11001,967,"-1,674347","-78,648294",2,2022
Cotopaxi,488716,13973,760,"-0,933333","-78,616667",2,2022
El Oro,715751,32632,5619,"-3,266667","-79,966667",2,2022
Esmeraldas,591083,11280,794,"1,05","-79,2",2,2022
Galápagos,33042,2055,432,"-0,8","-89,4",2,2022
Guayas,4387434,105083,20133,"-2,183333","-79,883333",2,2022
Imbabura,476257,20310,1668,"0,362678","-78,130667",2,2022
Loja,521154,20880,1415,"-3,983333","-79,2",2,2022
Los Ríos,921763,15416,1170,"-1,8","-79,533333",2,2022
Manabí,1562079,42168,3298,"-1,056181","-80,455217",2,2022
Morona Santiago,196535,8075,458,"-2,3","-78,116667",2,2022
Napo,133705,5094,351,"-0,989","-77,8159",2,2022
Orellana,161338,4460,196,"-0,466667","-76,966667",2,2022
Pastaza,114202,4095,125,"-1,066667","-78,001111",2,2022
Pichincha,3228233,220441,14155,"-0,218611","-78,509722",2,2022
Santa Elena,401178,5520,609,"-2,2267","-80,8583",2,2022
Sto. Domingo Tsáchilas,511151,13769,371,"-0,254167","-79,171944",2,2022
Sucumbíos,230503,7386,429,"0,084722","-76,882778",2,2022
Tungurahua,590600,18275,1043,"-1,241667","-78,619722",2,2022
Zamora Chinchipe,120416,3577,254,"-4,12","-78,8",2,2022
Azuay,881394,32832,1461,"-2,897414","-79,004481",3,2022
Bolívar,209933,9691,783,"-1,605556","-79,003056",3,2022
Carchi,186869,11002,467,"0,81218","-77,71633",3,2022
Cañar,281396,10003,1248,"-2,733333","-78,833333",3,2022
Chimborazo,524004,12431,1430,"-1,674347","-78,648294",3,2022
Cotopaxi,488716,14994,1021,"-0,933333","-78,616667",3,2022
El Oro,715751,39751,7119,"-3,266667","-79,966667",3,2022
Esmeraldas,591083,12116,836,"1,05","-79,2",3,2022
Galápagos,33042,2365,310,"-0,8","-89,4",3,2022
Guayas,4387434,117225,12142,"-2,183333","-79,883333",3,2022
Imbabura,476257,22081,1771,"0,362678","-78,130667",3,2022
Loja,521154,23190,2310,"-3,983333","-79,2",3,2022
Los Ríos,921763,16142,726,"-1,8","-79,533333",3,2022
Manabí,1562079,45738,3570,"-1,056181","-80,455217",3,2022
Morona Santiago,196535,8724,649,"-2,3","-78,116667",3,2022
Napo,133705,5735,641,"-0,989","-77,8159",3,2022
Orellana,161338,4819,359,"-0,466667","-76,966667",3,2022
Pastaza,114202,4343,248,"-1,066667","-78,001111",3,2022
Pichincha,3228233,235362,14921,"-0,218611","-78,509722",3,2022
Santa Elena,401178,5920,400,"-2,2267","-80,8583",3,2022
Sto. Domingo Tsáchilas,511151,14577,808,"-0,254167","-79,171944",3,2022
Sucumbíos,230503,7920,534,"0,084722","-76,882778",3,2022
Tungurahua,590600,20407,2132,"-1,241667","-78,619722",3,2022
Zamora Chinchipe,120416,4014,437,"-4,12","-78,8",3,2022
Azuay,881394,34229,1397,"-2,897414","-79,004481",4,2022
Bolívar,209933,10415,724,"-1,605556","-79,003056",4,2022
Carchi,186869,11821,819,"0,81218","-77,71633",4,2022
Cañar,281396,11504,1501,"-2,733333","-78,833333",4,2022
Chimborazo,524004,13847,1416,"-1,674347","-78,648294",4,2022
Cotopaxi,488716,16120,1126,"-0,933333","-78,616667",4,2022
El Oro,715751,42954,3203,"-3,266667","-79,966667",4,2022
Esmeraldas,591083,13080,964,"1,05","-79,2",4,2022
Galápagos,33042,2705,340,"-0,8","-89,4",4,2022
Guayas,4387434,122424,5199,"-2,183333","-79,883333",4,2022
Imbabura,476257,24091,2010,"0,362678","-78,130667",4,2022
Loja,521154,26374,3184,"-3,983333","-79,2",4,2022
Los Ríos,921763,16593,451,"-1,8","-79,533333",4,2022
Manabí,1562079,49659,3921,"-1,056181","-80,455217",4,2022
Morona Santiago,196535,9320,596,"-2,3","-78,116667",4,2022
Napo,133705,6174,439,"-0,989","-77,8159",4,2022
Orellana,161338,5204,385,"-0,466667","-76,966667",4,2022
Pastaza,114202,4514,171,"-1,066667","-78,001111",4,2022
Pichincha,3228233,252251,16889,"-0,218611","-78,509722",4,2022
Santa Elena,401178,6129,209,"-2,2267","-80,8583",4,2022
Sto. Domingo Tsáchilas,511151,15254,677,"-0,254167","-79,171944",4,2022
Sucumbíos,230503,8192,272,"0,084722","-76,882778",4,2022
Tungurahua,590600,22378,1971,"-1,241667","-78,619722",4,2022
Zamora Chinchipe,120416,4528,514,"-4,12","-78,8",4,2022
Azuay,881394,36100,1871,"-2,897414","-79,004481",5,2022
Bolívar,209933,10791,376,"-1,605556","-79,003056",5,2022
Carchi,186869,12185,364,"0,81218","-77,71633",5,2022
Cañar,281396,12560,1056,"-2,733333","-78,833333",5,2022
Chimborazo,524004,14598,751,"-1,674347","-78,648294",5,2022
Cotopaxi,488716,16812,692,"-0,933333","-78,616667",5,2022
El Oro,715751,46008,3054,"-3,266667","-79,966667",5,2022
Esmeraldas,591083,13387,307,"1,05","-79,2",5,2022
Galápagos,33042,2871,166,"-0,8","-89,4",5,2022
Guayas,4387434,126393,3969,"-2,183333","-79,883333",5,2022
Imbabura,476257,25528,1437,"0,362678","-78,130667",5,2022
Loja,521154,28691,2317,"-3,983333","-79,2",5,2022
Los Ríos,921763,16850,257,"-1,8","-79,533333",5,2022
Manabí,1562079,51784,2125,"-1,056181","-80,455217",5,2022
Morona Santiago,196535,9711,391,"-2,3","-78,116667",5,2022
Napo,133705,6485,311,"-0,989","-77,8159",5,2022
Orellana,161338,5400,196,"-0,466667","-76,966667",5,2022
Pastaza,114202,4778,264,"-1,066667","-78,001111",5,2022
Pichincha,3228233,268912,16661,"-0,218611","-78,509722",5,2022
Santa Elena,401178,6287,158,"-2,2267","-80,8583",5,2022
Sto. Domingo Tsáchilas,511151,15832,578,"-0,254167","-79,171944",5,2022
Sucumbíos,230503,8438,246,"0,084722","-76,882778",5,2022
Tungurahua,590600,23990,1612,"-1,241667","-78,619722",5,2022
Zamora Chinchipe,120416,4758,230,"-4,12","-78,8",5,2022
Azuay,881394,38130,2030,"-2,897414","-79,004481",6,2022
Bolívar,209933,11081,290,"-1,605556","-79,003056",6,2022
Carchi,186869,12568,383,"0,81218","-77,71633",6,2022
Cañar,281396,13211,651,"-2,733333","-78,833333",6,2022
Chimborazo,524004,14993,395,"-1,674347","-78,648294",6,2022
Cotopaxi,488716,17192,380,"-0,933333","-78,616667",6,2022
El Oro,715751,47321,1313,"-3,266667","-79,966667",6,2022
Esmeraldas,591083,13610,223,"1,05","-79,2",6,2022
Galápagos,33042,2952,81,"-0,8","-89,4",6,2022
Guayas,4387434,129396,3003,"-2,183333","-79,883333",6,2022
Imbabura,476257,26620,1092,"0,362678","-78,130667",6,2022
Loja,521154,30770,2079,"-3,983333","-79,2",6,2022
Los Ríos,921763,17015,165,"-1,8","-79,533333",6,2022
Manabí,1562079,53089,1305,"-1,056181","-80,455217",6,2022
Morona Santiago,196535,9944,233,"-2,3","-78,116667",6,2022
Napo,133705,6591,106,"-0,989","-77,8159",6,2022
Orellana,161338,5610,210,"-0,466667","-76,966667",6,2022
Pastaza,114202,4977,199,"-1,066667","-78,001111",6,2022
Pichincha,3228233,283165,14253,"-0,218611","-78,509722",6,2022
Santa Elena,401178,6385,98,"-2,2267","-80,8583",6,2022
Sto. Domingo Tsáchilas,511151,16281,449,"-0,254167","-79,171944",6,2022
Sucumbíos,230503,8579,141,"0,084722","-76,882778",6,2022
Tungurahua,590600,24770,780,"-1,241667","-78,619722",6,2022
Zamora Chinchipe,120416,4890,132,"-4,12","-78,8",6,2022
Azuay,881394,39454,1324,"-2,897414","-79,004481",7,2022
Bolívar,209933,11266,185,"-1,605556","-79,003056",7,2022
Carchi,186869,12748,180,"0,81218","-77,71633",7,2022
Cañar,281396,13519,308,"-2,733333","-78,833333",7,2022
Chimborazo,524004,15242,249,"-1,674347","-78,648294",7,2022
Cotopaxi,488716,17489,297,"-0,933333","-78,616667",7,2022
El Oro,715751,48080,759,"-3,266667","-79,966667",7,2022
Esmeraldas,591083,13771,161,"1,05","-79,2",7,2022
Galápagos,33042,2979,27,"-0,8","-89,4",7,2022
Guayas,4387434,131222,1826,"-2,183333","-79,883333",7,2022
Imbabura,476257,27335,715,"0,362678","-78,130667",7,2022
Loja,521154,31819,1049,"-3,983333","-79,2",7,2022
Los Ríos,921763,17108,93,"-1,8","-79,533333",7,2022
Manabí,1562079,53840,751,"-1,056181","-80,455217",7,2022
Morona Santiago,196535,10264,320,"-2,3","-78,116667",7,2022
Napo,133705,6669,78,"-0,989","-77,8159",7,2022
Orellana,161338,5702,92,"-0,466667","-76,966667",7,2022
Pastaza,114202,5088,111,"-1,066667","-78,001111",7,2022
Pichincha,3228233,293833,10668,"-0,218611","-78,509722",7,2022
Santa Elena,401178,6434,49,"-2,2267","-80,8583",7,2022
Sto. Domingo Tsáchilas,511151,16585,304,"-0,254167","-79,171944",7,2022
Sucumbíos,230503,8626,47,"0,084722","-76,882778",7,2022
Tungurahua,590600,25828,1058,"-1,241667","-78,619722",7,2022
Zamora Chinchipe,120416,4985,95,"-4,12","-78,8",7,2022
