zona,region,provincia,poblacion,mes,anio,dosis_total,dosis_refuerzo,primera_dosis,dosis_unica,segunda_dosis
3,sierra,Chimborazo,524004,9,2021,17323162,0,9482696,271587,7568879
6,amazonia,Morona Santiago,196535,8,2021,3550271,0,2287345,18681,1244245
5,costa,Santa Elena,401178,3,2021,96555,0,85607,0,10948
8,costa,Guayas,4387434,1,2021,15216,0,15216,0,0
3,sierra,Chimborazo,524004,2,2021,22762,0,21277,0,1485
7,sierra,Loja,521154,12,2021,26670856,1227922,13238139,143370,12061425
4,costa,Sto. Domingo Tsáchilas,511151,10,2021,16886192,8059,8844865,820886,7212382
7,sierra,Loja,521154,7,2021,10057390,0,7301733,0,2755657
5,costa,Los Ríos,921763,10,2021,30788459,422,16495015,688117,13604905
5,costa,Los Ríos,921763,1,2021,2080,0,2080,0,0
5,costa,Los Ríos,921763,2,2021,27147,0,24887,0,2260
5,costa,Santa Elena,401178,5,2021,930361,0,783977,0,146384
3,sierra,Bolívar,209933,11,2021,8153105,73251,4519967,187861,3372026
5,insular,Galápagos,33042,4,2021,468208,0,345799,0,122409
3,sierra,Bolívar,209933,6,2021,1863731,0,1249924,0,613807
7,costa,El Oro,715751,12,2021,36089956,983708,18449623,427980,16228645
2,amazonia,Orellana,161338,5,2021,570399,0,482595,0,87804
1,sierra,Carchi,186869,1,2022,10020617,651165,4911121,223716,4234615
5,costa,Santa Elena,401178,6,2021,1869094,0,1304058,0,565036
7,costa,El Oro,715751,5,2021,2839496,0,2287557,0,551939
6,amazonia,Morona Santiago,196535,6,2021,1074080,0,729278,0,344802
2,amazonia,Napo,133705,8,2021,3786476,0,2635455,11924,1139097
5,costa,Los Ríos,921763,1,2022,36822155,1352022,19086696,801030,15582407
3,sierra,Bolívar,209933,2,2021,7958,0,7353,0,605
9,sierra,Pichincha,3228233,1,2021,18773,0,18773,0,0
5,costa,Santa Elena,401178,2,2021,12660,0,12050,0,610
6,sierra,Azuay,881394,12,2021,43680235,1832904,21818266,486730,19542335
2,amazonia,Pastaza,114202,11,2021,3703255,38085,1984464,145257,1535449
