zona,region,provincia,poblacion,semana,mes,anio,primera_dosis,dosis_refuerzo,dosis_total,dosis_unica,segunda_dosis
3,sierra,Bolívar,209933,14,4,2021,23790,0,27723,0,3933
7,sierra,Loja,521154,50,12,2021,2979592,232792,5920196,30718,2677094
2,amazonia,Sucumbíos,230503,10,3,2021,4304,0,4622,0,318
7,costa,El Oro,715751,8,2,2021,3290,0,3290,0,0
4,costa,Manabí,1562079,4,1,2021,3,0,3,0,0
2,amazonia,Orellana,161338,46,11,2021,790238,2209,1390833,24359,574027
6,sierra,Azuay,881394,23,6,2021,740893,0,1072617,0,331724
5,costa,Santa Elena,401178,3,1,2022,2129759,176760,4114293,69447,1738327
4,costa,Sto. Domingo Tsáchilas,511151,13,3,2021,36832,0,43309,0,6477
6,sierra,Cañar,281396,12,3,2021,30727,0,32525,0,1798
8,costa,Guayas,4387434,28,7,2021,5871653,0,8372572,0,2500919
1,sierra,Imbabura,476257,28,7,2021,898247,0,1251613,0,353366
6,sierra,Azuay,881394,12,3,2021,128113,0,143082,0,14969
4,costa,Manabí,1562079,9,2,2021,37297,0,40722,0,3425
5,insular,Galápagos,33042,1,1,2022,29823,11823,70175,0,28529
3,sierra,Cotopaxi,488716,50,12,2021,2676118,133473,5139500,180792,2149117
8,costa,Guayas,4387434,4,1,2021,3981,0,3981,0,0
1,sierra,Carchi,186869,35,8,2021,1067193,0,1713201,3290,642718
2,amazonia,Napo,133705,33,8,2021,598472,0,800883,0,202411
1,costa,Esmeraldas,591083,19,5,2021,304592,0,347290,0,42698
3,sierra,Bolívar,209933,46,11,2021,1020871,10868,1842010,43282,766989
7,amazonia,Zamora Chinchipe,120416,22,5,2021,104665,0,136586,0,31921
4,costa,Manabí,1562079,6,2,2021,5930,0,5930,0,0
5,costa,Santa Elena,401178,50,12,2021,2003132,80488,3640130,56616,1499894
7,costa,El Oro,715751,33,8,2021,3447650,0,4806102,0,1358452
3,sierra,Cotopaxi,488716,23,5,2021,113094,0,149893,0,36799
2,amazonia,Orellana,161338,23,6,2021,86896,0,114768,0,27872
3,sierra,Chimborazo,524004,31,7,2021,1874020,0,2376082,0,502062
4,costa,Sto. Domingo Tsáchilas,511151,49,12,2021,1408680,30359,2645364,108405,1097920
1,sierra,Imbabura,476257,11,3,2021,27500,0,29545,0,2045
5,costa,Santa Elena,401178,35,8,2021,1459290,0,2565720,10162,1096268
